n_cities,method,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
5,Attention:batch_greedy_mean,31.03835979243407,7.394858596983874,41.46034161993304,28.564922468012863,3.854433346229295,3.5810563147202004,3,4.269423601587858,18.369847113601132,16.491965676288018,70.95920113513571,2.067523827286917,8.89583703918787
5,Attention:greedy_rollout,31.03835979243407,7.394858596983874,41.46034161993304,28.564922468012863,2.2009999956935644,0.7894011721728802,3,4.269423601587858,18.369847113601132,16.491965676288018,70.95920113513571,0.45576097925261855,1.9609812214702658
5,POMO,21.859879585595404,2.3231097513004726,5.544919323628554e-15,9.60408199239511e-15,3.0438999917047718,0.5514689513117769,3,1.3412480402703726,5.770924541668919,5.5449193236285546e-15,2.3857862263755286e-14,0.318390747489575,1.369924818796015
5,PointerNet:batch_greedy_mean,29.742773222741917,3.3190537718267072,36.097863997844776,5.572718121755812,4.271633340977132,3.058469428786405,3,1.9162565886189922,8.244986641819724,3.2174103077136236,13.843399243036526,1.765808148018072,7.597659248189647
5,PointerNet:greedy_rollout,29.742773222741917,3.3190537718267072,36.097863997844776,5.572718121755812,2.5010999913016954,0.6463496602527719,3,1.9162565886189922,8.244986641819724,3.2174103077136236,13.843399243036526,0.373170150337561,1.6056215659910265
5,Reference:exact_dp,21.859879585595404,2.3231097513004713,0.0,0.0,0.14659999093661705,0.06506818243419377,3,1.3412480402703717,5.770924541668916,0.0,0.0,0.03756713264406145,0.16163832581782805
6,Attention:batch_greedy_mean,33.4032139898525,4.902458845441877,63.07415952022143,11.880594627050487,2.6410999901903174,0.5051098861093661,3,2.8304359341069296,12.17838289811523,6.859264506060421,29.51303315070873,0.2916253287155838,1.2547625166466412
6,Attention:greedy_rollout,33.4032139898525,4.902458845441877,63.07415952022143,11.880594627050487,2.726700021109233,0.3676078437487942,3,2.8304359341069296,12.17838289811523,6.859264506060421,29.51303315070873,0.21223848754458421,0.9131885077802859
6,POMO,20.943908882281033,1.064113434556306,2.7703254184934933,4.129792701019211,3.005100026105841,0.5397948623066098,3,0.6143661778893805,2.6434043123287285,2.3843369276307933,10.258973790185944,0.31165070905989817,1.340924774048309
6,PointerNet:batch_greedy_mean,26.287723098608797,4.595249446315629,28.212991257898008,13.08005892695821,3.190099998998145,0.6781710745303656,3,2.6530685048238074,11.415232444351016,7.551775542495491,32.49266765197079,0.39154225243672436,1.684670341238248
6,PointerNet:greedy_rollout,26.287723098608797,4.595249446315629,28.212991257898008,13.08005892695821,2.7987666544504464,0.5369651618827871,3,2.6530685048238074,11.415232444351016,7.551775542495491,32.49266765197079,0.3100169807584781,1.3338954085126222
6,Reference:exact_dp,20.410216066591826,1.5151592119989308,0.0,0.0,0.28636665471519035,0.07167945658652285,3,0.874777578912724,3.763864137785814,0.0,0.0,0.04138415355559506,0.17806164126214538
