method,n_cities,instance,mean_entropy,logprob_gap,sample_length_variance,sample_length_std,model_length,reference_length,reference_solver,gap_percent
Attention:batch_greedy_mean,20,72,0.3869269327886286,2.938755390476657,5.069299793750787,2.251510558214371,38.55691909790039,38.04756317678683,LKH,1.338734674667214
Attention:batch_greedy_mean,20,73,0.5055685959237962,3.328098071417139,2.838518252233681,1.684790269509437,35.271358489990234,33.855349759574715,LKH,4.1825257764913655
Attention:batch_greedy_mean,20,74,0.40037931395927445,3.664911895808477,1.8440556876411074,1.357960120048121,44.503726959228516,41.122958530987646,LKH,8.221121604597924
Attention:batch_greedy_mean,20,75,0.3184015821068897,4.194695373723449,4.998925113838846,2.2358276127284156,42.02815246582031,40.20275918816094,LKH,4.540467655754637
Attention:batch_greedy_mean,20,76,0.307429718360072,3.8796341651113915,4.193990214708385,2.0479233908299364,37.99699401855469,37.239506336296834,LKH,2.034097002836851
Attention:batch_greedy_mean,20,77,0.27978596874454525,3.5190721985947824,5.991062147631758,2.447664631364305,44.90449523925781,43.381160466252936,LKH,3.5115122708391087
Attention:batch_greedy_mean,20,78,0.3349380527455651,3.8216221342360184,1.7777932821793863,1.33333914747126,40.90824508666992,39.782981681374345,LKH,2.8285044452120705
Attention:batch_greedy_mean,20,79,0.2776437465885465,4.352983466531471,2.433549713377299,1.5599838824094623,45.87944412231445,41.33199779251044,LKH,11.002241780405859
Attention:batch_greedy_mean,20,80,0.29323091999758616,3.940333337431968,1.671083088296893,1.2927037898516787,39.985740661621094,39.57696257468319,LKH,1.0328687709839302
Attention:batch_greedy_mean,20,81,0.3431337374513532,3.6888134687741725,14.442220232449626,3.8002921246201096,39.67192077636719,39.67191795514324,LKH,7.111387827097659e-06
Attention:batch_greedy_mean,20,82,0.4918472613392623,2.9502060192219512,2.413056495450998,1.553401588595492,43.3307991027832,38.34258598294957,LKH,13.00958970803853
Attention:batch_greedy_mean,20,83,0.40605819278862326,2.8512883909606375,9.399569269886898,3.0658716982102985,38.60039138793945,35.31173574763429,LKH,9.313208684524914
Attention:batch_greedy_mean,20,84,0.4234066757209803,3.937799927062728,16.97963572225943,4.120635354197145,45.68797302246094,40.97769332024614,LKH,11.494740968954337
Attention:batch_greedy_mean,20,85,0.2784886065237515,4.096642396661419,1.0116008767269373,1.005783712697187,41.64082717895508,40.072896509815195,LKH,3.9126961255616868
Attention:batch_greedy_mean,20,86,0.25457727634329785,4.136339535984095,7.146149898765155,2.673228366369988,36.575706481933594,34.29140630724042,LKH,6.661436262562541
Attention:batch_greedy_mean,20,87,0.41168793808294596,4.458266532695268,32.38041761105017,5.690379390783199,38.8401985168457,36.8216282897704,LKH,5.482023258694647
Attention:batch_greedy_mean,20,88,0.46073638411180584,3.0087237414546775,4.728725510724201,2.1745632919563875,36.29621124267578,31.319654465053016,LKH,15.889564756136402
Attention:batch_greedy_mean,20,89,0.47271034111035987,2.816039224355825,18.851737492208894,4.3418587600483844,39.92771911621094,35.70686763194135,LKH,11.820839418840121
Attention:batch_greedy_mean,20,90,0.4493004511925392,3.4701574639912716,8.164680026766334,2.8573904225300284,42.2255744934082,41.37784536092548,LKH,2.048751270367659
Attention:batch_greedy_mean,20,91,0.3574643012951128,3.769038284413731,1.8773067429504604,1.3701484382907059,43.17174530029297,40.871421488925776,LKH,5.628196249524797
Attention:batch_greedy_mean,20,92,0.3311843750838307,3.5501584867806137,15.927709722040944,3.990953485326651,43.79978942871094,39.029763572772715,LKH,12.22150845737074
Attention:batch_greedy_mean,20,93,0.5107989945885493,3.54317084531288,16.547641550444123,4.067879244820834,38.17192840576172,34.91515764617252,LKH,9.327670213014825
Attention:batch_greedy_mean,20,94,0.30563485160164416,3.8468408796063214,4.830511010858636,2.1978423535045994,35.62778854370117,34.53972263275253,LKH,3.1501871700523645
Attention:batch_greedy_mean,20,95,0.460396553366445,2.9970726892639528,2.727624582335556,1.6515521736643852,41.807037353515625,38.57032520385732,LKH,8.39171599552551
Attention:batch_greedy_mean,20,96,0.43847674666321834,3.170118767355521,3.4202123064454404,1.84938160108871,42.86981964111328,39.57361637992562,LKH,8.329295027127513
Attention:batch_greedy_mean,20,97,0.4174402144490159,3.439166852517144,1.4769537014515142,1.2152998401429642,42.48827362060547,37.42498416344416,LKH,13.529169271117588
Attention:batch_greedy_mean,20,98,0.3784818045445718,3.155843791928878,2.774788757711437,1.6657697192923868,40.326133728027344,38.547144537907805,LKH,4.6150997990786475
Attention:batch_greedy_mean,20,99,0.34211899799520323,4.262777633420294,1.029096573585267,1.0144439726201082,34.286495208740234,33.78030009594252,LKH,1.4984920541262847
Attention:batch_greedy_mean,20,100,0.31813110088698976,3.4818607503401737,7.980006912434314,2.824890601852453,42.29802703857422,40.75998260239817,LKH,3.773417793572753
Attention:batch_greedy_mean,20,101,0.40074157393537463,3.273228099134271,10.38839357182165,3.223103096678983,38.7653694152832,35.9503246411199,LKH,7.830373723366778
Attention:batch_greedy_mean,20,102,0.3186013167952296,3.5623998132822847,1.3035985975698716,1.141752423938689,37.09785461425781,34.71098563613024,LKH,6.876407956687667
Attention:batch_greedy_mean,20,103,0.25370980886098093,5.321348427381675,1.1959609912953015,1.0936000143083857,43.21710968017578,39.743975229505565,LKH,8.738769664117022
Attention:batch_greedy_mean,20,104,0.4064255349206746,3.6238301527906116,1.8677373986494399,1.366651893734992,34.79951095581055,34.247658253932855,LKH,1.6113589366780132
Attention:batch_greedy_mean,20,105,0.2948195951212256,4.028647830600997,0.6812493969760608,0.8253783356595088,39.20743942260742,37.865629704688374,LKH,3.5436086191718887
Attention:batch_greedy_mean,20,106,0.40967216396594497,3.9870997330678932,18.872098612822715,4.344202874270804,36.770912170410156,34.483112504818614,LKH,6.634550942209318
Attention:batch_greedy_mean,20,107,0.3625772317223891,3.4251131077095436,2.543928750701712,1.5949698275207942,43.262325286865234,42.274876700614996,LKH,2.3357811147344476
Attention:batch_greedy_mean,20,108,0.41198251783607703,3.9782089265310825,7.161404205550552,2.6760800073149067,42.41975402832031,42.419753284411165,LKH,1.753685700687879e-06
Attention:batch_greedy_mean,20,109,0.3213041224205881,4.339340346336735,13.232731142975698,3.6376821113142497,38.80598068237305,38.64441715324104,LKH,0.418077282654683
Attention:batch_greedy_mean,20,110,0.26487771967949814,4.755835615957605,11.277567820987842,3.3582090198479073,36.33034133911133,36.076830378322974,LKH,0.702697432479207
Attention:batch_greedy_mean,20,111,0.4327499008951065,3.701254739965646,3.3938644249340144,1.842244398806525,37.004844665527344,32.70383832176,LKH,13.151380891293119
Attention:batch_greedy_mean,20,112,0.31392299869039564,4.65294138741272,3.702617681628365,1.9242187197998997,43.95528793334961,38.87084574965279,LKH,13.080348743742576
Attention:batch_greedy_mean,20,113,0.28610613811179064,3.7231303425093194,1.8220142844669933,1.349820093370592,35.954734802246094,35.34398458850525,LKH,1.728017428854002
Attention:batch_greedy_mean,20,114,0.3780232936864195,3.731212937931249,1.945944541273042,1.3949711614485234,34.51289749145508,34.156446586155525,LKH,1.0435831034134324
Attention:batch_greedy_mean,20,115,0.40856351915942923,3.120460401349437,2.609800295641231,1.6154876340106201,42.95582580566406,40.111133715667364,LKH,7.092026144565356
Attention:batch_greedy_mean,20,116,0.3272935361252166,3.7015549801713505,4.221947786143404,2.0547378874550892,45.01518630981445,43.39759738108818,LKH,3.7273697769987235
Attention:batch_greedy_mean,20,117,0.36099637738043383,4.166165960686155,8.26623676873255,2.8751063925935942,38.87306213378906,36.878803477877454,LKH,5.407601298962715
Attention:batch_greedy_mean,20,118,0.3365701887118121,4.030528347119324,5.319579127796586,2.306421281508776,40.164127349853516,37.81586434845731,LKH,6.209729810108127
Attention:batch_greedy_mean,20,119,0.45139468975685304,3.038343608962987,1.0962386802353037,1.0470141738464211,43.06584930419922,38.4931566113319,LKH,11.879235415889946
Attention:batch_greedy_mean,20,120,0.3252906804700615,3.754738254424276,5.14347863990568,2.2679238611350425,40.01115798950195,38.14387563270975,LKH,4.895366099586745
Attention:batch_greedy_mean,20,121,0.30067824556176675,4.50664999905621,5.968826685839626,2.443118230016637,37.22349548339844,36.16988891342495,LKH,2.9129383628889958
Attention:batch_greedy_mean,20,122,0.3497312075863192,4.0596007579144295,6.733876556798639,2.5949713980694735,41.298439025878906,40.17698133232016,LKH,2.791294060354393
Attention:batch_greedy_mean,20,123,0.3711895784051194,3.9500526832883525,13.641136358279068,3.6933909024471085,40.099891662597656,37.63278343893698,LKH,6.555742090307532
Attention:batch_greedy_mean,20,124,0.3105740806007816,3.825497373741334,3.961375789424379,1.990320524293607,39.971397399902344,36.11049445118065,LKH,10.691913825609387
Attention:batch_greedy_mean,20,125,0.3393876958445219,4.023048955806439,7.531339734097746,2.7443286490684287,39.72117614746094,34.82889774877552,LKH,14.046607027227608
Attention:batch_greedy_mean,20,126,0.41025595757046174,4.517399144394853,22.204207517439055,4.712134072523728,48.50129318237305,43.083006257137015,LKH,12.576390080342764
Attention:batch_greedy_mean,20,127,0.19193392004526685,4.092288559479918,0.6615953934621202,0.813385144603785,41.67245101928711,41.603944870614775,LKH,0.16466262727100348
Attention:batch_greedy_mean,20,128,0.2666798579455644,4.537562255736187,3.615481163961859,1.9014418644707125,36.638099670410156,34.37816465281551,LKH,6.573751218012057
Attention:batch_greedy_mean,20,129,0.34811193742971225,3.8403937955459297,2.291746057309255,1.5138513986878814,40.15964889526367,38.32671911369734,LKH,4.7823811271945695
Attention:batch_greedy_mean,20,130,0.3085590760500054,3.975510160083658,1.1485499982227838,1.0717042494190194,36.64686584472656,35.64413988337874,LKH,2.813157968262275
Attention:batch_greedy_mean,20,131,0.4109471645140729,3.82157823908655,12.36607111512121,3.5165424944284704,40.673545837402344,39.35755817115249,LKH,3.3436720350563296
Attention:batch_greedy_mean,20,132,0.2619573038977251,3.979567358614795,7.91207098374512,2.812840376513591,36.44522476196289,35.87858042451101,LKH,1.5793387886237873
Attention:batch_greedy_mean,20,133,0.35300520568380306,3.8393631419692857,1.2420859291986506,1.1144890888647814,35.81878662109375,35.27998219734152,LKH,1.5272241939873576
Attention:batch_greedy_mean,20,134,0.23734916979738047,3.959091354507179,8.548941019495954,2.9238572159898566,35.43366622924805,35.433664983607976,LKH,3.5154141454646033e-06
Attention:batch_greedy_mean,20,135,0.35006782788368584,4.618279363537485,8.133834169140988,2.8519877575370107,44.304412841796875,38.869382991950275,LKH,13.982804540458432
Attention:batch_greedy_mean,20,136,0.4769834599683236,2.919217435491189,4.893177505155651,2.212052780825008,38.619850158691406,36.67734272179562,LKH,5.2962054847595255
Attention:batch_greedy_mean,20,137,0.4034937842215186,3.0532286912996986,1.28655422932253,1.1342637388731645,41.75231170654297,39.048952569394594,LKH,6.923000386103026
Attention:batch_greedy_mean,20,138,0.2934179077074077,3.8515759229076645,2.1570966417449715,1.4687057709919205,40.690635681152344,39.0247556137369,LKH,4.268777705885353
Attention:batch_greedy_mean,20,139,0.27937741446367,3.462829235089913,20.231622692554414,4.497957613467963,42.5231819152832,41.42673487757578,LKH,2.6467136281621984
Attention:batch_greedy_mean,20,140,0.24792877248692094,3.7972353112722232,1.8170896133270342,1.3479946636864089,37.59310531616211,37.50624571183639,LKH,0.23158704017743237
Attention:batch_greedy_mean,20,141,0.3326835740157549,3.746552199794155,2.344341118063894,1.531124135419429,47.94620895385742,43.76507022445318,LKH,9.55359767038162
Attention:batch_greedy_mean,20,142,0.4325991143472493,3.182737337374821,46.913192642841196,6.849320597171752,38.52579879760742,36.15624488133707,LKH,6.553650480151103
Attention:batch_greedy_mean,20,143,0.31819383803413076,3.926406177695204,8.470099143968824,2.9103434752566275,39.546226501464844,37.0407697316595,LKH,6.764051578722666
Attention:batch_greedy_mean,20,144,0.5420043111726954,3.812529106285178,14.513556651331609,3.809666212587608,46.84849548339844,34.699685760548775,LKH,35.01129608690015
Attention:batch_greedy_mean,20,145,0.4848261800670798,3.7834394500714637,3.9332659256625346,1.9832463098824953,33.637393951416016,33.055849475740295,LKH,1.7592785691455788
Attention:batch_greedy_mean,20,146,0.30901134107261896,3.317566392803621,7.553538486663703,2.748370150955599,35.38726043701172,32.44990119090686,LKH,9.051982096413813
