method,n_cities,entropy_pearson_r,entropy_p_value,entropy_r_ci_low,entropy_r_ci_high,logprob_gap_pearson_r,logprob_gap_p_value,logprob_gap_r_ci_low,logprob_gap_r_ci_high,sample_variance_pearson_r,sample_variance_p_value,sample_variance_r_ci_low,sample_variance_r_ci_high,entropy_spearman_r,entropy_spearman_p_value,entropy_spearman_r_ci_low,entropy_spearman_r_ci_high,logprob_gap_spearman_r,logprob_gap_spearman_p_value,logprob_gap_spearman_r_ci_low,logprob_gap_spearman_r_ci_high,sample_variance_spearman_r,sample_variance_spearman_p_value,sample_variance_spearman_r_ci_low,sample_variance_spearman_r_ci_high,count,gap_mean,gap_std,entropy_mean,entropy_std,logprob_gap_mean,logprob_gap_std,sample_length_variance_mean,sample_length_variance_std,sample_length_std_mean,sample_length_std_std,gap_sem,gap_ci95,entropy_sem,entropy_ci95,logprob_gap_sem,logprob_gap_ci95,sample_length_variance_sem,sample_length_variance_ci95,sample_length_std_sem,sample_length_std_ci95
POMO,50,0.32355653033474757,9.705925476320256e-09,0.2183127107984613,0.4213605784346676,-0.18119583889129626,0.0016247394321901162,-0.28851858700672894,-0.06937648267524911,-0.0216617209629242,0.7086501759984155,-0.13457450699371803,0.09180638558048992,0.32798142201580016,5.925940623399956e-09,0.22302190305118982,0.42542343085518086,-0.15894843276036397,0.005795429399572717,-0.2673785788389943,-0.046543299841683684,-0.05782108690096556,0.31820904343936374,-0.16995117803304255,0.055787099575198146,300,9.686431925495054,3.3974123666271003,0.8647920250519266,0.06266153363689898,1.591784965194767,0.199496008898379,3.0923176543687205,2.013993604902993,1.6858705783952368,0.5009937088003762,0.19614969444203198,0.38600880327057985,0.0036177653313098413,0.007119507731200715,0.011517907443973508,0.022666431784544253,0.11627797499369277,0.22882687684892825,0.028924885263820616,0.05692213988498406
POMO,100,0.21281691226597738,0.0002045456893234356,0.1020330060375821,0.3183866935914641,0.10451708889197402,0.07065544375134696,-0.008830327421431068,0.2152127717537391,0.03758078707779662,0.5167068360831972,-0.07598549089794372,0.15018454027104666,0.19642840476005288,0.0006229314154665546,0.08507798779191879,0.30293283186290065,0.11338659318436871,0.049757065130162266,0.00014556004740105423,0.2237564122466377,0.023378481983133147,0.6867335191137192,-0.0901029630103055,0.1362606412979601,300,16.19774314736992,3.1321246011541266,1.4371505927386083,0.049140982374387486,0.7850814943842986,0.08876260155551371,5.864192193630184,3.5919976490751173,2.3171926303733894,0.7046030031255056,0.1808332981611784,0.3558672126063257,0.0028371559402095266,0.005583323350503359,0.005124711190204734,0.010085071196595158,0.20738408096220218,0.4081172858173707,0.04068027335263293,0.08005591687633538
PointerNet:batch_greedy_mean,20,0.4763550683512153,2.1265096550262635e-18,0.38381670968165843,0.5594206764215308,-0.4060549951106155,2.451136854655392e-13,-0.49646884670827746,-0.30692539620223724,0.051222632549300665,0.37665370618050215,-0.062382123329222744,0.16351703785147229,0.47272436360404,4.156074873777643e-18,0.37981391793729424,0.5561927764793373,-0.40964499605551163,1.4400623710187852e-13,-0.4997068052376355,-0.31082088457242385,0.08582317581306458,0.13806567978260603,-0.02768883036616553,0.19715000360535623,300,13.525764114481266,8.187156351530453,0.45470222335370825,0.08373394353532383,3.016763765170301,0.44468386056560794,7.925110255378689,6.127152231133404,2.6384619512675687,0.9832861363025713,0.47268569234536606,0.9302121981091477,0.004834381484042813,0.009513722754028087,0.025673834660183574,0.050524300946453875,0.35375129900106866,0.6961576767746149,0.05677005154847166,0.11171946875660736
PointerNet:batch_greedy_mean,30,0.48580107287517205,3.5819973463465576e-19,0.3942470923403432,0.5678069159960387,-0.3363231664837443,2.28755557570992e-09,-0.4330719969997436,-0.23191294997019316,-0.09772344917874845,0.0911045181251652,-0.20865724861174495,0.01569312069835881,0.4839995999955555,5.052444319739096e-19,0.3922560641733356,0.5662088663416472,-0.3603742263802931,1.2490198704265054e-10,-0.4550467510559675,-0.2576458039416595,-0.13208546761630682,0.02212172534935267,-0.24171289079458624,-0.019128687420537867,300,19.315865869553793,7.631348019901208,0.6134711037852341,0.07030941744663641,2.2177017323279884,0.24846900867215369,11.298699321696047,6.238702294815858,3.2426170644509695,0.8869929066319956,0.4405960833569679,0.8670621045121725,0.00405931610893813,0.007988448606894306,0.014345364904214737,0.028230669208573162,0.36019164493058714,0.7088318246083587,0.05121055934132712,0.10077877909722996
PointerNet:batch_greedy_mean,50,0.3971113989221705,8.971937499934216e-13,0.2972351767158681,0.48839132031027194,-0.37170152203992346,2.911293613467592e-11,-0.4653563831439189,-0.26981585990638557,0.00042007482921749793,0.994218949915131,-0.11282819462460159,0.11365757024359292,0.3943577150857232,1.3274255354297662e-12,0.2942557485694857,0.4859011410095885,-0.35066256291736575,4.1627423035105294e-10,-0.4461873449501475,-0.24723747222655995,0.007141857131745907,0.9019600055507186,-0.10618692525840429,0.12028747503769438,300,31.56115713279557,7.634366872722003,0.9287889947853737,0.059817027701658844,1.3175224454628027,0.1376447646049826,27.144208170380928,14.548451354365614,5.023085600080999,1.3853579369069215,0.4407703769058409,0.8674051019581264,0.003453537704567603,0.006796319312054472,0.007946924189722936,0.015638987890768976,0.8399552305735162,1.6529728189322594,0.07998367777971957,0.15740225254367407
PointerNet:batch_greedy_mean,100,0.40547496471863476,2.66949022781504e-13,0.306296320240091,0.4959454590147283,-0.33122565830085005,4.106364795716776e-09,-0.4283997341888975,-0.2264776978763655,-0.05507238987356413,0.34179667040380945,-0.16727209006715812,0.05853557273846296,0.4060236224846942,2.4624869554520164e-13,0.3068913685884747,0.49644053944853545,-0.2950121668018534,1.942863180469261e-07,-0.39505699157936464,-0.1880517022938319,-0.07619106878965322,0.18814968109576066,-0.18781349773372177,0.03737430250665651,300,50.7890354120013,7.8538439300114,1.4807074487175738,0.05281930239431141,0.7231280861242202,0.06764133423203346,74.02060728351557,41.71120943758871,8.291548809841782,2.2996638443150177,0.45344189071653895,0.8923417499381705,0.0030495238455763934,0.0060012484522320815,0.0039052742527209963,0.007685305067766709,2.4081977997016697,4.73916389901084,0.13277115395609249,0.2612842930662393
PointerNet:greedy_rollout,20,0.5664899873573569,7.334160741901836e-27,0.48431645572123494,0.6387560680248084,-0.38304781131587323,6.38827593029086e-12,-0.4756578891610177,-0.28203904243727174,0.004166570917520703,0.9427084187774208,-0.10912782152361605,0.1173541013550734,0.5588110979010877,4.890605258141585e-26,0.475669204406334,0.6320565807653694,-0.3767361859576217,1.4960680099641683e-11,-0.4699305811615872,-0.2752355763577749,-0.0009884554272825252,0.9863974600351677,-0.1142185724682697,0.11226701340487265,300,10.909585544440331,6.8293740347688106,0.4639782245553848,0.08137191071163379,3.0205936587728557,0.40405282995607206,6.21322902190904,4.4927362486997815,2.350208183157357,0.8318998591465573,0.39429409373704133,0.7759430454023625,0.004698009455383595,0.009245352192798978,0.023328001014196825,0.04590786531582478,0.2593882482584808,0.510457829554756,0.04802976076170765,0.09451919120107584
PointerNet:greedy_rollout,30,0.44235490383958836,8.356214293196108e-16,0.3464678050677865,0.5290936263369527,-0.34532952635598235,7.924844254044256e-10,-0.4413143380415151,-0.24153200315471282,0.0023924384221559146,0.9670843828246642,-0.11088050422464076,0.11560402037085968,0.44826720296892186,3.1002669084389444e-16,0.35294065517145257,0.5343831700483235,-0.3389139879331992,1.6921693415377862e-09,-0.4354446953087541,-0.23467793176135554,0.01774464160712897,0.759538223263342,-0.09569054637330922,0.13072485808589068,300,16.292073616484263,6.730430765474224,0.631760743705816,0.0713551202973306,2.1011732618534413,0.25165860431160497,11.602967073169044,6.998180713279426,3.263514551951807,0.9775608727341959,0.3885816014208682,0.7647012622890574,0.004119689791172195,0.008107259767393446,0.014529516294319063,0.028593066192759097,0.40404015186495235,0.7951226023487142,0.056439503302233344,0.11106897305577747
PointerNet:greedy_rollout,50,0.33200343367974194,3.758281120532609e-09,0.22730658453243724,0.4291129619262594,-0.1906608465602703,0.0009032282470835782,-0.2974808435196945,-0.07912636067078853,0.0027179445479543277,0.9626090762028975,-0.11055898633442986,0.1159251663421429,0.3449398326648074,8.30265278714058e-10,0.24111537637533975,0.44095803738365774,-0.17174101934465938,0.0028410857140977607,-0.27954716209547154,-0.05965838029648085,0.014114379048656096,0.8076492473026335,-0.09928721916134471,0.1271540441305207,300,26.56558233987997,6.1316587972815695,0.9789295528914281,0.061126735169278704,1.260456885712884,0.1375010478455016,23.864330977512054,12.229265525999173,4.726916082099742,1.2351845746325714,0.3540114857189451,0.6966697059362207,0.003529153700466602,0.006945126273840037,0.007938626698745595,0.015622659012095865,0.7060569743427032,1.3894704678595267,0.07131341466629884,0.1403397845241704
PointerNet:greedy_rollout,100,0.20665006284454412,0.000314187749650526,0.09564542163722407,0.31257812034526045,0.008878244635075281,0.8782904258294654,-0.10446969116418249,0.1219984897354875,-0.046320691275125364,0.42407141017097566,-0.1587309717886807,0.06727510172627134,0.21514816831298123,0.0001733510912333794,0.1044500884168433,0.3205804474976201,-0.006735630395893287,0.9075108209898683,-0.1198870872024532,0.10658857351420976,-0.0632598139979333,0.2747398218716131,-0.17524729275935355,0.050343736845641494,300,40.08112784937966,5.832844525942014,1.5178279597636186,0.0505098926853042,0.7056051141537106,0.05275770203471733,52.80459962299203,26.061001753768064,7.047436055226837,1.774469067652164,0.33675943571938566,0.6627188848898886,0.0029161900138599487,0.005738856848907121,0.0030459673471570116,0.005994249513474596,1.5046326377889299,2.961011208948911,0.1024490193877641,0.20161246481983344
