sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,11,PointerNet:greedy_rollout,50.91792862738471,39.89386339162477,LKH,27.633486201976392
0.0,0.0,11,POMO,39.89386339162477,39.89386339162477,LKH,0.0
0.0,0.0,12,Attention:batch_greedy_mean,36.22701775743847,34.59298510880989,LKH,4.7235953864312
0.0,0.0,12,Attention:greedy_rollout,34.637101113460005,34.59298510880989,LKH,0.12752875911503442
0.0,0.0,12,PointerNet:batch_greedy_mean,38.57401891682347,34.59298510880989,LKH,11.50821126159395
0.0,0.0,12,PointerNet:greedy_rollout,40.05677026508461,34.59298510880989,LKH,15.794488793287861
0.0,0.0,12,POMO,34.592985108809884,34.59298510880989,LKH,-2.054008156639666e-14
0.0,0.0,13,Attention:batch_greedy_mean,38.77520807648373,38.77520807648372,LKH,1.8324665965906915e-14
0.0,0.0,13,Attention:greedy_rollout,39.46553585376156,38.77520807648372,LKH,1.7803328763991977
0.0,0.0,13,PointerNet:batch_greedy_mean,40.49285279369701,38.77520807648372,LKH,4.42974983867334
0.0,0.0,13,PointerNet:greedy_rollout,42.57464906303335,38.77520807648372,LKH,9.798634681870091
0.0,0.0,13,POMO,39.42099085194553,38.77520807648372,LKH,1.6654527660767433
0.0,0.0,14,Attention:batch_greedy_mean,40.57367996649994,37.876297480355184,LKH,7.121557981066578
0.0,0.0,14,Attention:greedy_rollout,40.58335258000021,37.876297480355184,LKH,7.1470953597010345
0.0,0.0,14,PointerNet:batch_greedy_mean,46.374253820545775,37.876297480355184,LKH,22.43607983224368
0.0,0.0,14,PointerNet:greedy_rollout,45.486218447767385,37.876297480355184,LKH,20.09151230095587
0.0,0.0,14,POMO,38.08743270057613,37.876297480355184,LKH,0.5574336307038796
0.0,0.0,15,Attention:batch_greedy_mean,37.17294279271133,37.05468328965692,LKH,0.3191486002726691
0.0,0.0,15,Attention:greedy_rollout,37.347181221267554,37.05468328965692,LKH,0.7893683217426881
0.0,0.0,15,PointerNet:batch_greedy_mean,37.33452040117384,37.05468328965692,LKH,0.7552003867619883
0.0,0.0,15,PointerNet:greedy_rollout,37.17294279271133,37.05468328965692,LKH,0.3191486002726691
0.0,0.0,15,POMO,37.091588106154546,37.05468328965692,LKH,0.0995955523601146
0.0,0.0,16,Attention:batch_greedy_mean,33.6247239685169,32.692467481950466,LKH,2.851594138867423
0.0,0.0,16,Attention:greedy_rollout,34.29472035362506,32.692467481950466,LKH,4.900984829484647
0.0,0.0,16,PointerNet:batch_greedy_mean,39.330919117124964,32.692467481950466,LKH,20.30575281244706
