method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,19,3,0.0,0.0,True
Attention:batch_greedy_mean,19,4,0.0,0.0,True
Attention:batch_greedy_mean,20,0,0.0,0.0,True
Attention:batch_greedy_mean,20,1,0.0,0.0,True
Attention:batch_greedy_mean,20,2,0.0,0.0,True
Attention:batch_greedy_mean,20,3,0.0,0.0,True
Attention:batch_greedy_mean,20,4,0.0,0.0,True
Attention:batch_greedy_mean,21,0,0.0,0.0,True
Attention:batch_greedy_mean,21,1,0.0,0.0,True
Attention:batch_greedy_mean,21,2,0.0,0.0,True
Attention:batch_greedy_mean,21,3,0.0,0.0,True
Attention:batch_greedy_mean,21,4,0.0,0.0,True
Attention:batch_greedy_mean,22,0,0.0,0.0,True
Attention:batch_greedy_mean,22,1,0.0,0.0,True
Attention:batch_greedy_mean,22,2,0.0,0.0,True
Attention:batch_greedy_mean,22,3,0.0,0.0,True
Attention:batch_greedy_mean,22,4,0.0,0.0,True
Attention:batch_greedy_mean,23,0,0.0,0.0,True
Attention:batch_greedy_mean,23,1,0.0,0.0,True
Attention:batch_greedy_mean,23,2,0.0,0.0,True
Attention:batch_greedy_mean,23,3,0.0,0.0,True
Attention:batch_greedy_mean,23,4,0.0,0.0,True
Attention:batch_greedy_mean,24,0,0.0,0.0,True
Attention:batch_greedy_mean,24,1,0.0,0.0,True
Attention:batch_greedy_mean,24,2,0.0,0.0,True
Attention:batch_greedy_mean,24,3,0.0,0.0,True
Attention:batch_greedy_mean,24,4,0.0,0.0,True
Attention:batch_greedy_mean,25,0,0.0,0.0,True
Attention:batch_greedy_mean,25,1,0.0,0.0,True
Attention:batch_greedy_mean,25,2,0.0,0.0,True
Attention:batch_greedy_mean,25,3,0.0,0.0,True
Attention:batch_greedy_mean,25,4,0.0,0.0,True
Attention:batch_greedy_mean,26,0,0.0,0.0,True
Attention:batch_greedy_mean,26,1,0.0,0.0,True
Attention:batch_greedy_mean,26,2,0.0,0.0,True
Attention:batch_greedy_mean,26,3,0.0,0.0,True
Attention:batch_greedy_mean,26,4,0.0,0.0,True
Attention:batch_greedy_mean,27,0,0.0,0.0,True
Attention:batch_greedy_mean,27,1,0.0,0.0,True
Attention:batch_greedy_mean,27,2,0.0,0.0,True
Attention:batch_greedy_mean,27,3,0.0,0.0,True
Attention:batch_greedy_mean,27,4,0.0,0.0,True
Attention:batch_greedy_mean,28,0,0.0,0.0,True
Attention:batch_greedy_mean,28,1,0.0,0.0,True
Attention:batch_greedy_mean,28,2,0.0,0.0,True
Attention:batch_greedy_mean,28,3,0.0,0.0,True
Attention:batch_greedy_mean,28,4,0.0,0.0,True
Attention:batch_greedy_mean,29,0,0.0,0.0,True
Attention:batch_greedy_mean,29,1,0.0,0.0,True
Attention:batch_greedy_mean,29,2,0.0,0.0,True
Attention:batch_greedy_mean,29,3,0.0,0.0,True
Attention:batch_greedy_mean,29,4,0.0,0.0,True
Attention:batch_greedy_mean,30,0,0.0,0.0,True
Attention:batch_greedy_mean,30,1,0.0,0.0,True
Attention:batch_greedy_mean,30,2,0.0,0.0,True
Attention:batch_greedy_mean,30,3,0.0,0.0,True
Attention:batch_greedy_mean,30,4,0.0,0.0,True
Attention:batch_greedy_mean,31,0,0.0,0.0,True
Attention:batch_greedy_mean,31,1,0.0,0.0,True
Attention:batch_greedy_mean,31,2,0.0,0.0,True
Attention:batch_greedy_mean,31,3,0.0,0.0,True
Attention:batch_greedy_mean,31,4,0.0,0.0,True
Attention:batch_greedy_mean,32,0,0.0,0.0,True
Attention:batch_greedy_mean,32,1,0.0,0.0,True
Attention:batch_greedy_mean,32,2,0.0,0.0,True
Attention:batch_greedy_mean,32,3,0.0,0.0,True
Attention:batch_greedy_mean,32,4,0.0,0.0,True
Attention:batch_greedy_mean,33,0,0.0,0.0,True
Attention:batch_greedy_mean,33,1,0.0,0.0,True
Attention:batch_greedy_mean,33,2,0.0,0.0,True
Attention:batch_greedy_mean,33,3,0.0,0.0,True
Attention:batch_greedy_mean,33,4,0.0,0.0,True
Attention:batch_greedy_mean,34,0,0.0,0.0,True
Attention:batch_greedy_mean,34,1,0.0,0.0,True
Attention:batch_greedy_mean,34,2,0.0,0.0,True
Attention:batch_greedy_mean,34,3,0.0,0.0,True
Attention:batch_greedy_mean,34,4,0.0,0.0,True
Attention:batch_greedy_mean,35,0,0.0,0.0,True
Attention:batch_greedy_mean,35,1,0.0,0.0,True
Attention:batch_greedy_mean,35,2,0.0,0.0,True
Attention:batch_greedy_mean,35,3,0.0,0.0,True
Attention:batch_greedy_mean,35,4,0.0,0.0,True
Attention:batch_greedy_mean,36,0,0.0,0.0,True
Attention:batch_greedy_mean,36,1,0.0,0.0,True
Attention:batch_greedy_mean,36,2,0.0,0.0,True
Attention:batch_greedy_mean,36,3,0.0,0.0,True
Attention:batch_greedy_mean,36,4,0.0,0.0,True
Attention:batch_greedy_mean,37,0,0.0,0.0,True
Attention:batch_greedy_mean,37,1,0.0,0.0,True
Attention:batch_greedy_mean,37,2,0.0,0.0,True
Attention:batch_greedy_mean,37,3,0.0,0.0,True
Attention:batch_greedy_mean,37,4,0.0,0.0,True
Attention:batch_greedy_mean,38,0,0.0,0.0,True
Attention:batch_greedy_mean,38,1,0.0,0.0,True
Attention:batch_greedy_mean,38,2,0.0,0.0,True
Attention:batch_greedy_mean,38,3,0.0,0.0,True
Attention:batch_greedy_mean,38,4,0.0,0.0,True
Attention:batch_greedy_mean,39,0,0.0,0.0,True
Attention:batch_greedy_mean,39,1,0.0,0.0,True
Attention:batch_greedy_mean,39,2,0.0,0.0,True
Attention:batch_greedy_mean,39,3,0.0,0.0,True
Attention:batch_greedy_mean,39,4,0.0,0.0,True
Attention:batch_greedy_mean,40,0,0.0,0.0,True
Attention:batch_greedy_mean,40,1,0.0,0.0,True
Attention:batch_greedy_mean,40,2,0.0,0.0,True
Attention:batch_greedy_mean,40,3,0.0,0.0,True
Attention:batch_greedy_mean,40,4,0.0,0.0,True
Attention:batch_greedy_mean,41,0,0.0,0.0,True
Attention:batch_greedy_mean,41,1,0.0,0.0,True
Attention:batch_greedy_mean,41,2,0.0,0.0,True
Attention:batch_greedy_mean,41,3,0.0,0.0,True
Attention:batch_greedy_mean,41,4,0.0,0.0,True
Attention:batch_greedy_mean,42,0,0.0,0.0,True
Attention:batch_greedy_mean,42,1,0.0,0.0,True
Attention:batch_greedy_mean,42,2,0.0,0.0,True
Attention:batch_greedy_mean,42,3,0.0,0.0,True
Attention:batch_greedy_mean,42,4,0.0,0.0,True
Attention:batch_greedy_mean,43,0,0.0,0.0,True
Attention:batch_greedy_mean,43,1,0.0,0.0,True
Attention:batch_greedy_mean,43,2,0.0,0.0,True
Attention:batch_greedy_mean,43,3,0.0,0.0,True
Attention:batch_greedy_mean,43,4,0.0,0.0,True
Attention:batch_greedy_mean,44,0,0.0,0.0,True
Attention:batch_greedy_mean,44,1,0.0,0.0,True
Attention:batch_greedy_mean,44,2,0.0,0.0,True
Attention:batch_greedy_mean,44,3,0.0,0.0,True
Attention:batch_greedy_mean,44,4,0.0,0.0,True
Attention:batch_greedy_mean,45,0,0.0,0.0,True
Attention:batch_greedy_mean,45,1,0.0,0.0,True
Attention:batch_greedy_mean,45,2,0.0,0.0,True
Attention:batch_greedy_mean,45,3,0.0,0.0,True
Attention:batch_greedy_mean,45,4,0.0,0.0,True
Attention:batch_greedy_mean,46,0,0.0,0.0,True
Attention:batch_greedy_mean,46,1,0.0,0.0,True
Attention:batch_greedy_mean,46,2,0.0,0.0,True
Attention:batch_greedy_mean,46,3,0.0,0.0,True
Attention:batch_greedy_mean,46,4,0.0,0.0,True
Attention:batch_greedy_mean,47,0,0.0,0.0,True
Attention:batch_greedy_mean,47,1,0.0,0.0,True
Attention:batch_greedy_mean,47,2,0.0,0.0,True
Attention:batch_greedy_mean,47,3,0.0,0.0,True
Attention:batch_greedy_mean,47,4,0.0,0.0,True
Attention:batch_greedy_mean,48,0,0.0,0.0,True
Attention:batch_greedy_mean,48,1,0.0,0.0,True
Attention:batch_greedy_mean,48,2,0.0,0.0,True
Attention:batch_greedy_mean,48,3,0.0,0.0,True
Attention:batch_greedy_mean,48,4,0.0,0.0,True
Attention:batch_greedy_mean,49,0,0.0,0.0,True
Attention:batch_greedy_mean,49,1,0.0,0.0,True
Attention:batch_greedy_mean,49,2,0.0,0.0,True
Attention:batch_greedy_mean,49,3,0.0,0.0,True
Attention:batch_greedy_mean,49,4,0.0,0.0,True
Attention:batch_greedy_mean,50,0,0.0,0.0,True
Attention:batch_greedy_mean,50,1,0.0,0.0,True
Attention:batch_greedy_mean,50,2,0.0,0.0,True
Attention:batch_greedy_mean,50,3,0.0,0.0,True
Attention:batch_greedy_mean,50,4,0.0,0.0,True
Attention:batch_greedy_mean,51,0,0.0,0.0,True
Attention:batch_greedy_mean,51,1,0.0,0.0,True
Attention:batch_greedy_mean,51,2,0.0,0.0,True
Attention:batch_greedy_mean,51,3,0.0,0.0,True
Attention:batch_greedy_mean,51,4,0.0,0.0,True
Attention:batch_greedy_mean,52,0,0.0,0.0,True
Attention:batch_greedy_mean,52,1,0.0,0.0,True
Attention:batch_greedy_mean,52,2,0.0,0.0,True
Attention:batch_greedy_mean,52,3,0.0,0.0,True
Attention:batch_greedy_mean,52,4,0.0,0.0,True
Attention:batch_greedy_mean,53,0,0.0,0.0,True
Attention:batch_greedy_mean,53,1,0.0,0.0,True
Attention:batch_greedy_mean,53,2,0.0,0.0,True
Attention:batch_greedy_mean,53,3,0.0,0.0,True
Attention:batch_greedy_mean,53,4,0.0,0.0,True
Attention:batch_greedy_mean,54,0,0.0,0.0,True
Attention:batch_greedy_mean,54,1,0.0,0.0,True
Attention:batch_greedy_mean,54,2,0.0,0.0,True
Attention:batch_greedy_mean,54,3,0.0,0.0,True
Attention:batch_greedy_mean,54,4,0.0,0.0,True
Attention:batch_greedy_mean,55,0,0.0,0.0,True
Attention:batch_greedy_mean,55,1,0.0,0.0,True
Attention:batch_greedy_mean,55,2,0.0,0.0,True
Attention:batch_greedy_mean,55,3,0.0,0.0,True
Attention:batch_greedy_mean,55,4,0.0,0.0,True
Attention:batch_greedy_mean,56,0,0.0,0.0,True
Attention:batch_greedy_mean,56,1,0.0,0.0,True
Attention:batch_greedy_mean,56,2,0.0,0.0,True
Attention:batch_greedy_mean,56,3,0.0,0.0,True
Attention:batch_greedy_mean,56,4,0.0,0.0,True
Attention:batch_greedy_mean,57,0,0.0,0.0,True
Attention:batch_greedy_mean,57,1,0.0,0.0,True
Attention:batch_greedy_mean,57,2,0.0,0.0,True
Attention:batch_greedy_mean,57,3,0.0,0.0,True
Attention:batch_greedy_mean,57,4,0.0,0.0,True
Attention:batch_greedy_mean,58,0,0.0,0.0,True
Attention:batch_greedy_mean,58,1,0.0,0.0,True
Attention:batch_greedy_mean,58,2,0.0,0.0,True
Attention:batch_greedy_mean,58,3,0.0,0.0,True
Attention:batch_greedy_mean,58,4,0.0,0.0,True
Attention:batch_greedy_mean,59,0,0.0,0.0,True
Attention:batch_greedy_mean,59,1,0.0,0.0,True
Attention:batch_greedy_mean,59,2,0.0,0.0,True
Attention:batch_greedy_mean,59,3,0.0,0.0,True
Attention:batch_greedy_mean,59,4,0.0,0.0,True
Attention:batch_greedy_mean,60,0,0.0,0.0,True
Attention:batch_greedy_mean,60,1,0.0,0.0,True
Attention:batch_greedy_mean,60,2,0.0,0.0,True
Attention:batch_greedy_mean,60,3,0.0,0.0,True
Attention:batch_greedy_mean,60,4,0.0,0.0,True
Attention:batch_greedy_mean,61,0,0.0,0.0,True
Attention:batch_greedy_mean,61,1,0.0,0.0,True
Attention:batch_greedy_mean,61,2,0.0,0.0,True
Attention:batch_greedy_mean,61,3,0.0,0.0,True
Attention:batch_greedy_mean,61,4,0.0,0.0,True
Attention:batch_greedy_mean,62,0,0.0,0.0,True
Attention:batch_greedy_mean,62,1,0.0,0.0,True
Attention:batch_greedy_mean,62,2,0.0,0.0,True
Attention:batch_greedy_mean,62,3,0.0,0.0,True
Attention:batch_greedy_mean,62,4,0.0,0.0,True
Attention:batch_greedy_mean,63,0,0.0,0.0,True
Attention:batch_greedy_mean,63,1,0.0,0.0,True
Attention:batch_greedy_mean,63,2,0.0,0.0,True
Attention:batch_greedy_mean,63,3,0.0,0.0,True
Attention:batch_greedy_mean,63,4,0.0,0.0,True
Attention:batch_greedy_mean,64,0,0.0,0.0,True
Attention:batch_greedy_mean,64,1,0.0,0.0,True
Attention:batch_greedy_mean,64,2,0.0,0.0,True
Attention:batch_greedy_mean,64,3,0.0,0.0,True
Attention:batch_greedy_mean,64,4,0.0,0.0,True
Attention:batch_greedy_mean,65,0,0.0,0.0,True
Attention:batch_greedy_mean,65,1,0.0,0.0,True
Attention:batch_greedy_mean,65,2,0.0,0.0,True
Attention:batch_greedy_mean,65,3,0.0,0.0,True
Attention:batch_greedy_mean,65,4,0.0,0.0,True
Attention:batch_greedy_mean,66,0,0.0,0.0,True
Attention:batch_greedy_mean,66,1,0.0,0.0,True
Attention:batch_greedy_mean,66,2,0.0,0.0,True
Attention:batch_greedy_mean,66,3,0.0,0.0,True
Attention:batch_greedy_mean,66,4,0.0,0.0,True
Attention:batch_greedy_mean,67,0,0.0,0.0,True
Attention:batch_greedy_mean,67,1,0.0,0.0,True
Attention:batch_greedy_mean,67,2,0.0,0.0,True
Attention:batch_greedy_mean,67,3,0.0,0.0,True
Attention:batch_greedy_mean,67,4,0.0,0.0,True
Attention:batch_greedy_mean,68,0,0.0,0.0,True
Attention:batch_greedy_mean,68,1,0.0,0.0,True
Attention:batch_greedy_mean,68,2,0.0,0.0,True
Attention:batch_greedy_mean,68,3,0.0,0.0,True
Attention:batch_greedy_mean,68,4,0.0,0.0,True
Attention:batch_greedy_mean,69,0,0.0,0.0,True
Attention:batch_greedy_mean,69,1,0.0,0.0,True
Attention:batch_greedy_mean,69,2,0.0,0.0,True
Attention:batch_greedy_mean,69,3,0.0,0.0,True
Attention:batch_greedy_mean,69,4,0.0,0.0,True
Attention:batch_greedy_mean,70,0,0.0,0.0,True
