phase,sigma_rel,epoch,method,n_cities,observed_length_mean_mean,observed_length_mean_std,true_length_mean_mean,true_length_mean_std,baseline_observed_mean_mean,baseline_observed_mean_std,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,observed_length_mean_sem,observed_length_mean_ci95,true_length_mean_sem,true_length_mean_ci95,baseline_observed_mean_sem,baseline_observed_mean_ci95,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
eval,0.0,3000,Attention:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,29.935497840826823,3.5215673772237204,2.4679405974281123,3.8836713409665258,3.297604000545107,0.6438518476907232,100,0.0,0.0,0.0,0.0,0.0,0.0,0.35215673772237205,0.6987553685767278,0.3883671340966526,0.7706046508834238,0.06438518476907232,0.12775417504481196
eval,0.0,3000,Attention:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,40.26883574933998,3.4813434283302436,4.905136251718741,4.051759394834814,5.767115002963692,0.92400627110721,100,0.0,0.0,0.0,0.0,0.0,0.0,0.34813434283302436,0.6907740644516223,0.4051759394834814,0.80395696746658,0.092400627110721,0.18334289064312537
eval,0.0,3000,Attention:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,65.13012088786522,5.16890961578665,15.015903578671027,6.418204554577126,12.959441997227259,2.47780156842847,100,0.0,0.0,0.0,0.0,0.0,0.0,0.516890961578665,1.0256238080460103,0.6418204554577126,1.2735110275442167,0.247780156842847,0.4916495874550571
eval,0.0,3000,Attention:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,99.1621302630628,4.4845221078743185,27.488155286128354,5.32687187577014,20.71753900439944,3.0857572045470674,100,0.0,0.0,0.0,0.0,0.0,0.0,0.44845221078743186,0.8898264785859672,0.5326871875770139,1.0569669474417964,0.3085757204547067,0.6122811753502336
eval,0.0,3000,Attention:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,154.68780913672515,6.079097093069384,44.17000889981301,4.550323040958973,42.85811699810438,4.993735407802518,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6079097093069384,1.2062247501935428,0.4550323040958973,0.9028828112711332,0.4993735407802518,0.9908654447510881
eval,0.0,3000,POMO,10,0.0,0.0,0.0,0.0,0.0,0.0,29.36529366162729,3.2127223676242322,0.5469905983366253,1.5006279583536977,15.783150001661852,4.363067798125376,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3212722367624232,0.6374738182331111,0.15006279583536977,0.2977571432873273,0.43630677981253757,0.8657273085622034
eval,0.0,3000,POMO,20,0.0,0.0,0.0,0.0,0.0,0.0,39.07697842784524,3.053479775537416,1.8200779201889694,2.0743279499614196,28.372319000773132,12.345553803994344,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3053479775537416,0.6058766331710268,0.20743279499614195,0.41159166813017034,1.2345553803994345,2.449625713364808
eval,0.0,3000,POMO,50,0.0,0.0,0.0,0.0,0.0,0.0,62.54215503316121,3.3740027198053917,10.528037970979874,4.073855404770976,105.18487399327569,9.062032008296876,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3374002719805392,0.6694753391074258,0.4073855404770976,0.8083412952141836,0.9062032008296876,1.7981037525976933
eval,0.0,3000,POMO,100,0.0,0.0,0.0,0.0,0.0,0.0,91.05857039621637,2.9329293775398204,17.073347482370067,3.2861042673222856,374.6726790012326,24.36866892954696,100,0.0,0.0,0.0,0.0,0.0,0.0,0.293292937753982,0.581956818849232,0.32861042673222857,0.65203437916459,2.436866892954696,4.835272597571002
eval,0.0,3000,POMO,200,0.0,0.0,0.0,0.0,0.0,0.0,132.6101871466011,2.833953748607372,23.6236964163528,2.489126777281149,1651.3009410060477,79.6990673786597,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2833953748607372,0.5623179067778323,0.2489126777281149,0.4938967545935433,7.969906737865971,15.814024051216927
