n_cities,instance,method,length,gap_percent,time_ms
10,0,Reference:exact_dp,32.96356683821434,0.0,9.714699990581721
10,0,Attention:batch_greedy_mean,32.96356683821434,0.0,9.420800022780895
10,0,Attention:greedy_rollout,32.96356683821434,0.0,3.2502999529242516
10,0,PointerNet:batch_greedy_mean,32.963566838214334,-2.155539596935775e-14,33.68569997837767
10,0,PointerNet:greedy_rollout,32.963566838214334,-2.155539596935775e-14,5.712400015909225
10,0,POMO,32.96356683821434,0.0,5.092800012789667
10,1,Reference:exact_dp,28.813776747046752,0.0,9.89720004145056
10,1,Attention:batch_greedy_mean,28.813776747046752,0.0,4.342800006270409
10,1,Attention:greedy_rollout,28.813776747046756,1.232991325638918e-14,3.9860999677330256
10,1,PointerNet:batch_greedy_mean,28.813776747046752,0.0,6.188399973325431
10,1,PointerNet:greedy_rollout,28.813776747046752,0.0,5.478599981870502
10,1,POMO,28.813776747046756,1.232991325638918e-14,4.163999983575195
10,2,Reference:exact_dp,28.5390527601781,0.0,12.486300023738295
10,2,Attention:batch_greedy_mean,29.222180771916644,2.3936604255196006,4.486399993766099
10,2,Attention:greedy_rollout,28.870651888364183,1.161913574962015,3.7066999939270318
10,2,PointerNet:batch_greedy_mean,31.988865165720664,12.088041024109428,4.113399947527796
10,2,PointerNet:greedy_rollout,31.26294005978128,9.544420841479177,4.580700013320893
10,2,POMO,28.539052760178098,-1.2448604053732897e-14,4.963200015481561
10,3,Reference:exact_dp,31.143916702155714,0.0,7.872199988923967
10,3,Attention:batch_greedy_mean,32.531280737652835,4.454687086294099,4.360999970231205
10,3,Attention:greedy_rollout,31.143916702155714,0.0,4.119299992453307
10,3,PointerNet:batch_greedy_mean,31.52189418386296,1.2136478700544482,6.00789999589324
10,3,PointerNet:greedy_rollout,31.52189418386296,1.2136478700544482,5.4017999791540205
10,3,POMO,31.143916702155718,1.140740810726157e-14,5.932700005359948
10,4,Reference:exact_dp,28.146713323445304,0.0,12.89730001008138
10,4,Attention:batch_greedy_mean,28.146713323445308,1.2622126206974245e-14,4.279399989172816
10,4,Attention:greedy_rollout,28.96498072607706,2.907150803821077,3.9947000332176685
10,4,PointerNet:batch_greedy_mean,35.58582947588366,26.429786195469635,5.582100013270974
10,4,PointerNet:greedy_rollout,30.963741559199907,10.008373636321185,3.743799985386431
10,4,POMO,28.146713323445315,3.786637862092273e-14,4.354299977421761
10,5,Reference:exact_dp,26.45939928785808,0.0,6.803700001910329
10,5,Attention:batch_greedy_mean,27.21159069551529,2.8428136235216157,3.3135999692603946
10,5,Attention:greedy_rollout,26.45939928785808,0.0,2.6382000069133937
10,5,PointerNet:batch_greedy_mean,29.867108208952395,12.879010910342451,4.513899970334023
10,5,PointerNet:greedy_rollout,29.34737947052559,10.914760956015996,4.545299976598471
10,5,POMO,26.45939928785808,0.0,5.306100007146597
10,6,Reference:exact_dp,31.94071748838006,0.0,12.496899988036603
10,6,Attention:batch_greedy_mean,31.94071748838006,0.0,4.20190003933385
10,6,Attention:greedy_rollout,34.8849913124357,9.21793264389493,3.8018999621272087
10,6,PointerNet:batch_greedy_mean,32.842022509421035,2.8218058074896657,5.887499952223152
10,6,PointerNet:greedy_rollout,33.62859467101101,5.284405972548969,5.4917000234127045
10,6,POMO,31.94071748838006,0.0,5.62720000743866
10,7,Reference:exact_dp,27.924194748452823,0.0,12.530300009530038
10,7,Attention:batch_greedy_mean,27.924194748452823,0.0,4.422399972099811
10,7,Attention:greedy_rollout,27.924194748452823,0.0,3.168000024743378
10,7,PointerNet:batch_greedy_mean,34.00572983974165,21.77873040233606,6.15309999557212
10,7,PointerNet:greedy_rollout,30.987911691983648,10.971549837441861,5.462000030092895
10,7,POMO,27.924194748452827,1.2722707712090224e-14,5.6164999841712415
10,8,Reference:exact_dp,27.28391069852099,0.0,7.461399945896119
10,8,Attention:batch_greedy_mean,27.28391069852099,0.0,2.9064000118523836
10,8,Attention:greedy_rollout,27.28391069852099,0.0,3.0536000267602503
10,8,PointerNet:batch_greedy_mean,27.28391069852099,0.0,5.022800003644079
10,8,PointerNet:greedy_rollout,27.28391069852099,0.0,3.785400011111051
10,8,POMO,27.28391069852099,0.0,3.8644999731332064
10,9,Reference:exact_dp,29.903426907175504,0.0,13.060600031167269
10,9,Attention:batch_greedy_mean,29.903426907175508,1.1880623882435383e-14,4.238200024701655
10,9,Attention:greedy_rollout,29.903426907175508,1.1880623882435383e-14,4.29509999230504
10,9,PointerNet:batch_greedy_mean,29.903426907175508,1.1880623882435383e-14,5.51460002316162
10,9,PointerNet:greedy_rollout,29.903426907175508,1.1880623882435383e-14,5.514400021638721
10,9,POMO,29.903426907175508,1.1880623882435383e-14,5.753499979618937
10,10,Reference:exact_dp,27.564701200977932,0.0,6.828200013842434
10,10,Attention:batch_greedy_mean,27.56514601771773,0.0016137187069587351,2.761899959295988
10,10,Attention:greedy_rollout,27.564701200977932,0.0,2.7917000115849078
10,10,PointerNet:batch_greedy_mean,29.09611682515463,5.555712768337092,4.766700032632798
10,10,PointerNet:greedy_rollout,29.09567200841483,5.55409904963012,3.7534000002779067
10,10,POMO,27.564701200977932,0.0,3.974399995058775
10,11,Reference:exact_dp,22.479523178198843,0.0,8.559600042644888
10,11,Attention:batch_greedy_mean,22.479523178198843,0.0,2.825200033839792
10,11,Attention:greedy_rollout,22.479523178198843,0.0,2.5343000306747854
10,11,PointerNet:batch_greedy_mean,25.008079446645738,11.248264691393219,3.853200003504753
10,11,PointerNet:greedy_rollout,26.451541458069528,17.669495248559542,5.207100010011345
10,11,POMO,22.479523178198846,1.5804221693839148e-14,5.8055000263266265
10,12,Reference:exact_dp,25.450383259249705,0.0,11.811600008513778
10,12,Attention:batch_greedy_mean,25.45038325924971,1.3959372016566e-14,2.938800025731325
10,12,Attention:greedy_rollout,25.450383259249705,0.0,2.7135999989695847
10,12,PointerNet:batch_greedy_mean,28.923038441689258,13.644805058790022,4.168099956586957
10,12,PointerNet:greedy_rollout,28.999476470623378,13.94514642558001,5.673999956343323
10,12,POMO,25.450383259249705,0.0,4.363700048997998
10,13,Reference:exact_dp,31.306407405243412,0.0,7.123699993826449
10,13,Attention:batch_greedy_mean,31.683783393530813,1.2054273216421363,2.786999975796789
10,13,Attention:greedy_rollout,35.095566110709576,12.103460663555826,3.097500011790544
10,13,PointerNet:batch_greedy_mean,34.094491675024614,8.905794375225035,5.629500024951994
10,13,PointerNet:greedy_rollout,31.409807105978295,0.33028286956223835,6.15309999557212
10,13,POMO,31.306407405243416,1.1348199851911043e-14,6.295000028330833
10,14,Reference:exact_dp,31.715123646580516,0.0,12.170599948149174
10,14,Attention:batch_greedy_mean,32.79878558215668,3.4168617712231617,3.504800028167665
10,14,Attention:greedy_rollout,32.841626578147164,3.5519424238098667,2.7170999674126506
10,14,PointerNet:batch_greedy_mean,33.64077167029615,6.071702715632489,4.065699991770089
10,14,PointerNet:greedy_rollout,33.41505690646428,5.360008300226346,4.347400041297078
10,14,POMO,32.29024497193122,1.8133977081710555,3.9585999911651015
10,15,Reference:exact_dp,26.871444717492018,0.0,9.973499982152134
10,15,Attention:batch_greedy_mean,28.55231304989015,6.255221295578374,2.9314999701455235
10,15,Attention:greedy_rollout,28.55231304989015,6.255221295578374,2.6390000130049884
10,15,PointerNet:batch_greedy_mean,31.49871860555126,17.22004133647161,5.448399984743446
10,15,PointerNet:greedy_rollout,34.61859159479218,28.83040699429585,5.815399985294789
10,15,POMO,26.871444717492018,0.0,4.581499961204827
10,16,Reference:exact_dp,28.807648881196087,0.0,13.691900006961077
10,16,Attention:batch_greedy_mean,28.807648881196087,0.0,4.589199961628765
10,16,Attention:greedy_rollout,31.6097960441894,9.727094267739387,4.218799993395805
10,16,PointerNet:batch_greedy_mean,28.838945078397373,0.10863849851250452,6.890700024086982
10,16,PointerNet:greedy_rollout,28.838945078397373,0.10863849851250452,6.026300019584596
10,16,POMO,28.807648881196087,0.0,4.486699996050447
10,17,Reference:exact_dp,31.63159410269203,0.0,8.324099995661527
10,17,Attention:batch_greedy_mean,31.63159410269203,0.0,2.8797999839298427
10,17,Attention:greedy_rollout,31.63159410269203,0.0,3.5150000476278365
10,17,PointerNet:batch_greedy_mean,36.02274426285658,13.882165236151769,4.13949997164309
10,17,PointerNet:greedy_rollout,32.947344564338756,4.159608451522042,3.6796999629586935
10,17,POMO,31.63159410269203,0.0,3.8367999950423837
10,18,Reference:exact_dp,22.2561002641463,0.0,11.472799989860505
10,18,Attention:batch_greedy_mean,22.60096208687848,1.5495159468154271,4.193600034341216
10,18,Attention:greedy_rollout,22.370071656584614,0.5120905777995427,4.033499979414046
10,18,PointerNet:batch_greedy_mean,26.5587088385515,19.332266315031525,4.850499972235411
10,18,PointerNet:greedy_rollout,27.779701678507948,24.818370463849636,4.413400019984692
10,18,POMO,22.25610026414631,3.192575192091296e-14,3.94989998312667
10,19,Reference:exact_dp,28.2757552849876,0.0,11.443700001109391
10,19,Attention:batch_greedy_mean,28.275755284987603,1.2564522655515899e-14,2.994399983435869
10,19,Attention:greedy_rollout,29.37236780801453,3.878278447292806,2.705400052946061
10,19,PointerNet:batch_greedy_mean,31.133510076867964,10.106731944301508,5.304999998770654
10,19,PointerNet:greedy_rollout,29.039417639925244,2.7007673083912063,5.408400029409677
10,19,POMO,28.275755284987603,1.2564522655515899e-14,5.38119999691844
10,20,Reference:exact_dp,31.04509092111298,0.0,11.364399979356676
10,20,Attention:batch_greedy_mean,31.04509092111298,0.0,4.313299956265837
10,20,Attention:greedy_rollout,31.045090921112983,1.1443721288586693e-14,4.38260001828894
10,20,PointerNet:batch_greedy_mean,32.66395220777248,5.2145483831021915,4.337300022598356
10,20,PointerNet:greedy_rollout,31.04509092111298,0.0,3.7048000376671553
10,20,POMO,31.04509092111298,0.0,4.060700011905283
10,21,Reference:exact_dp,25.579790179279925,0.0,7.909600040875375
10,21,Attention:batch_greedy_mean,25.579790179279932,2.7777504458799357e-14,2.8777000261470675
10,21,Attention:greedy_rollout,25.579790179279925,0.0,2.6169000193476677
10,21,PointerNet:batch_greedy_mean,30.327635978520085,18.560925503939426,3.8492000312544405
10,21,PointerNet:greedy_rollout,30.327635978520085,18.560925503939426,4.910500021651387
10,21,POMO,25.579790179279932,2.7777504458799357e-14,4.162099969107658
10,22,Reference:exact_dp,28.040845710209396,0.0,8.67040001321584
10,22,Attention:batch_greedy_mean,29.312281593006706,4.534228018430957,4.269200027920306
10,22,Attention:greedy_rollout,29.397348442130237,4.83759564864676,3.9071000064723194
10,22,PointerNet:batch_greedy_mean,31.695805674495606,13.034414161608096,5.941000010352582
10,22,PointerNet:greedy_rollout,30.433226954771417,8.53177279061515,4.902100015897304
10,22,POMO,29.098741987597577,3.7726974725409637,5.483600019942969
10,23,Reference:exact_dp,28.94285910460315,0.0,12.65889999922365
10,23,Attention:batch_greedy_mean,28.942859104603155,1.2274923033555685e-14,4.212100000586361
10,23,Attention:greedy_rollout,28.942859104603155,1.2274923033555685e-14,3.109400044195354
10,23,PointerNet:batch_greedy_mean,32.702084687455354,12.988438941936892,3.7394000100903213
10,23,PointerNet:greedy_rollout,31.36898615984558,8.382471982032246,5.46270003542304
10,23,POMO,28.942859104603155,1.2274923033555685e-14,3.742199973203242
10,24,Reference:exact_dp,34.08243141331717,0.0,12.160799989942461
10,24,Attention:batch_greedy_mean,34.08243141331717,0.0,3.0801999964751303
