n_cities,method,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
10,Attention:batch_greedy_mean,29.222965972175547,3.486602556682607,1.8429502624424503,3.5255981965443093,4.409183999329495,2.406517970791218,300,0.20129909246579406,0.39614245641936774,0.2035505067829316,0.4005730814514213,0.13894037982459817,0.27342489568803713
10,Attention:greedy_rollout,29.3905180464061,3.5299964141748306,2.417987557523759,3.7599609129423874,3.9848856666746237,1.189390071075623,300,0.2038044379962252,0.4010728002199635,0.2170814445229758,0.4272010152803305,0.06866946777069789,0.13513668298488404
10,POMO,28.77475262180003,3.370179839413269,0.2461569369402612,0.9679738424223499,6.18960533310504,7.727290703760656,300,0.19457742375027004,0.3829146851284596,0.055885995849106,0.10997970931671935,0.4461353367922707,0.877962965691977
10,PointerNet:batch_greedy_mean,31.5048292077626,4.166338092763537,9.956243631584169,9.60458956773055,6.0033836677515255,2.401892367543298,300,0.240543641939202,0.47337296967719067,0.5545212372385103,1.0912587948884966,0.13867332049656306,0.2728993417129962
10,PointerNet:greedy_rollout,30.561554447963584,3.6729305602996964,6.659917857547,7.146096467443624,5.875753000727855,1.869743915543328,300,0.21205674477038325,0.4173127595590582,0.412580071913361,0.8119285643834236,0.10794971529546052,0.21243744749709564
10,Reference:exact_dp,28.70274968421021,3.3406685801776215,0.0,0.0,12.614075999784594,4.962094296904779,300,0.19287359040388743,0.37956166093497035,0.0,0.0,0.28648664780622807,0.5637855740089552
20,Attention:batch_greedy_mean,40.52928712963821,3.769172190072165,5.981963610762008,4.473063134595872,6.3206120011939975,3.2793288358504826,300,0.21761325785602154,0.4282475865168357,0.25825242048611174,0.5082226003825625,0.1893321386139578,0.3725923328860032
20,Attention:greedy_rollout,40.14335990854436,3.5810165446471602,5.011585269060171,4.453342654852451,6.00131466848931,2.4202679040924195,300,0.20675008660245411,0.40686962950680244,0.2571138580572705,0.5059819895987627,0.13973423259387696,0.27498714210557057
20,LKH,38.22634015948774,2.975248087454728,0.0,0.0,26.039658333174884,8.398748020057099,300,0.17177602841979062,0.33804314276152075,0.0,0.0,0.4849019430235802,0.9542529202635451
20,POMO,38.79512501340255,3.1754768976055106,1.4670198339035538,1.662031220433915,11.744702000093335,3.793222946217368,300,0.1833362441637979,0.3607928343049492,0.09595741725190829,0.1888374483769147,0.21900182890948627,0.4309801966905543
20,PointerNet:batch_greedy_mean,43.40003794991787,4.016972461590039,13.657308981507619,7.786629427968077,10.773414334010644,5.218300299713462,300,0.23192001320263225,0.45640227483149043,0.44956125963172305,0.884704940891664,0.3012787082751872,0.5928953086724289
20,PointerNet:greedy_rollout,42.46032168505883,3.9947223781855308,11.11251023980329,6.50824661523056,10.724078000057489,4.0188154561024065,300,0.2306354040383238,0.45387425434389456,0.3757537935255834,0.7394570385428556,0.23202641854041528,0.4566116730526606
50,Attention:batch_greedy_mean,67.61384907070016,4.223347015680007,18.770871123718415,5.651881764395021,13.724839332862757,21.364023066974898,300,0.24383505363840544,0.47985023641316193,0.3263115458101402,0.6421581723583559,1.233452446869133,2.427347665575034
50,Attention:greedy_rollout,65.66195081740538,3.57317616168539,15.35013914345237,4.373512031666925,11.723932996974327,6.171613439212874,300,0.20629742188110134,0.4059788171715131,0.25250483487869657,0.4969117561402372,0.35631826804638644,0.7012092913184682
50,LKH,56.93192564777223,2.4224986435262728,0.0,0.0,270.5918996649173,58.152433360091806,300,0.13986302439513967,0.27524059531240785,0.0,0.0,3.3574323054480772,6.60719064576979
50,POMO,62.34658098663497,3.0842633550887304,9.530177932152778,3.4803533235406166,49.011391667105876,14.419534454725246,300,0.17807002783121767,0.35042929094034797,0.20093829282211834,0.3954324280959901,0.8325122099024703,1.6383254777262415
50,PointerNet:batch_greedy_mean,75.08858274661125,5.184978605138217,31.933848628638884,7.914608315392998,25.307754666622106,9.984761910793237,300,0.29935487934189997,0.5891093486364065,0.4569501241422598,0.8992457065826532,0.5764704976990797,1.1344533957628942
50,PointerNet:greedy_rollout,72.11264012302999,4.234684904936945,26.695898779633488,5.879205465520364,25.367213999658514,12.541824263124395,300,0.24448964697985895,0.48113843007098095,0.3394360858139301,0.6679863440246492,0.7241025614443849,1.4249829141126291
100,Attention:batch_greedy_mean,104.96345781821789,5.5650143139938635,34.90205312884698,6.2478582695883995,20.41436800073522,5.730861306876251,300,0.3212962512228477,0.6322884253409201,0.36072026538054913,0.7098721124755135,0.3308714318213413,0.6511317073273547
100,Attention:greedy_rollout,100.46559989653873,4.419413484001014,29.111809963791785,4.328614370647153,21.020318998683553,4.781848853854188,300,0.2551549564648247,0.5021270090362093,0.2499126672111216,0.4918105524800244,0.2760801722996819,0.5433063621092211
100,LKH,77.81538277543073,2.3214096055816986,0.0,0.0,1360.1850946678314,185.1829847312021,300,0.13402664606819764,0.26375501324292855,0.0,0.0,10.691544608389789,21.04020784298607
100,POMO,90.01474345988817,3.155714514209314,15.696054745172948,2.9780347924456385,200.20149866623493,36.84828582924128,300,0.18219526242643563,0.3585474624921322,0.17193691890745605,0.3383597639256679,2.127436774268872,4.186645947144422
100,PointerNet:batch_greedy_mean,117.25400788016864,6.604490366085806,50.70689326904279,7.701548861127074,51.53262799877363,12.863719098542788,300,0.381310429071993,0.7503921064948182,0.44464913081487717,0.875038216854722,0.7426871684323408,1.461556113592147
100,PointerNet:greedy_rollout,109.55298665952122,4.966025476682622,40.821364092822,5.7789013298844205,51.66668666623688,12.498677877416423,300,0.2867136145765251,0.5642322286501148,0.3336450238429056,0.656589941356474,0.7216115037040791,1.4200806876781265
200,Attention:batch_greedy_mean,164.40026328122494,6.276700039996514,53.59987251535944,5.604098238103914,39.20918866468128,8.398228704820896,300,0.36238544577145215,0.7131490703711174,0.3235527626334402,0.6367290810944095,0.48487196034443864,0.9541939164597044
200,Attention:greedy_rollout,156.6147331956835,4.622668631154988,46.31944166904544,3.749306282088587,40.46284599869978,11.70629230755259,300,0.2668898978571771,0.5252205483669627,0.21646629912382004,0.4259904523985428,0.6758631014977933,1.3300510496640414
200,LKH,107.04368468761979,2.035118960959983,0.0,0.0,8080.615817668149,761.8691970315492,300,0.11749764799431575,0.23122710753341216,0.0,0.0,43.98653859934489,86.56241434913956
200,POMO,131.2249669564592,2.972607411656674,22.601782119794716,2.2683046108542233,1083.006124001501,87.96235515467852,300,0.17162356893150574,0.3377431132111944,0.1309606277680755,0.25772130486422085,5.078508942710711,9.994148422974169
200,PointerNet:batch_greedy_mean,185.6699754874969,8.436950737463537,73.47270397417795,7.617724813211893,125.865793999983,19.644239552503997,300,0.4871075779414184,0.9585934546574855,0.4398095471520378,0.8655142565786964,1.1341606993663675,2.231948489770995
200,PointerNet:greedy_rollout,171.88356757666983,5.884707416069237,60.59449859865039,5.258753671148779,122.70311566535383,16.51464025160657,300,0.3397537410769761,0.6686114672413321,0.303614284763968,0.5974915589390721,0.9534731994834881,1.8763681979222324
300,Attention:batch_greedy_mean,215.46311173067238,7.23303572342557,66.39974389486973,5.182287126039383,62.35216499946546,12.325476616285599,300,0.41759951219779323,0.8218064698412597,0.29919948672367697,0.5888035468926517,0.7116117242302927,1.4004018249675514
300,Attention:greedy_rollout,203.06686905695832,5.145836399773025,56.82626305846369,3.4569425010905066,59.153337001334876,9.989047553618828,300,0.2970950030614731,0.5846620710557373,0.1995866683577662,0.39277252621115694,0.5767179294029803,1.1349403239540676
300,LKH,129.49399894921333,2.204241325382191,0.0,0.0,45217.15539533393,9866.112177147039,300,0.12726193225683055,0.25044253223080304,0.0,0.0,569.6202521330887,1120.9725942731973
300,POMO,164.0866379388997,3.0047824920629274,26.72722060896799,2.0464718919908242,3117.278342000985,256.2762292671844,300,0.17348119806488055,0.3413987966968829,0.1181531097729905,0.23251701021460455,14.796114995431116,29.117713686411793
300,PointerNet:batch_greedy_mean,243.83181143309054,9.160465368482432,88.32078057857792,7.03098875685452,197.67326566856354,32.330351212931085,300,0.5288797146395576,1.0407980818060076,0.4059343251439189,0.7988502021427434,1.8665936975780903,3.6733251175543415
300,PointerNet:greedy_rollout,226.53075222473262,6.734487517875649,74.9609239572982,5.217033816077235,201.50388866585368,33.52017178181505,300,0.388815818129968,0.7651621842998859,0.3012055878083572,0.5927514127363381,1.9352880201513416,3.808510713042589
