phase,sigma_rel,epoch,method,n_cities,observed_length_mean_mean,observed_length_mean_std,true_length_mean_mean,true_length_mean_std,baseline_observed_mean_mean,baseline_observed_mean_std,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,observed_length_mean_sem,observed_length_mean_ci95,true_length_mean_sem,true_length_mean_ci95,baseline_observed_mean_sem,baseline_observed_mean_ci95,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
eval,0.0,1,Attention:greedy_rollout,5,0.0,0.0,0.0,0.0,0.0,0.0,23.539358091054588,2.2461240527668047,7.917547952207093,3.9666205845540485,2.4316500348504633,1.3717164765145258,2,0.0,0.0,0.0,0.0,0.0,0.0,1.5882495490976183,20.180623943380297,2.8048243137323148,35.63867198000544,0.9699500224087386,12.324383568832332
eval,0.0,1,POMO,5,0.0,0.0,0.0,0.0,0.0,0.0,21.7888221007761,1.28046288708999,-7.827344571193357e-15,1.1069536849949063e-14,4.695749987149611,1.2554680596957652,2,0.0,0.0,0.0,0.0,0.0,0.0,0.9054239905190363,11.504502596812229,7.827344571193357e-15,9.945584266418308e-14,0.8877499785739928,11.27993298252436
eval,0.0,1,PointerNet:greedy_rollout,5,0.0,0.0,0.0,0.0,0.0,0.0,23.539358091054588,2.2461240527668047,7.917547952207093,3.9666205845540485,4.4793999986723065,0.8103443677468634,2,0.0,0.0,0.0,0.0,0.0,0.0,1.5882495490976183,20.180623943380297,2.8048243137323148,35.63867198000544,0.5729999975301324,7.280655282592948
eval,0.1,1,Attention:greedy_rollout,5,0.0,0.0,0.0,0.0,0.0,0.0,23.539358091054588,2.2461240527668047,7.917547952207093,3.9666205845540485,2.527249976992607,0.37978706292906306,2,0.0,0.0,0.0,0.0,0.0,0.0,1.5882495490976183,20.180623943380297,2.8048243137323148,35.63867198000544,0.2685500076040625,3.412251378587614
eval,0.1,1,POMO,5,0.0,0.0,0.0,0.0,0.0,0.0,21.7888221007761,1.28046288708999,-7.827344571193357e-15,1.1069536849949063e-14,3.418250009417534,0.00898024218310635,2,0.0,0.0,0.0,0.0,0.0,0.0,0.9054239905190363,11.504502596812229,7.827344571193357e-15,9.945584266418308e-14,0.0063499901443719855,0.08068427484871644
eval,0.1,1,PointerNet:greedy_rollout,5,0.0,0.0,0.0,0.0,0.0,0.0,23.539358091054588,2.2461240527668047,7.917547952207093,3.9666205845540485,2.827100019203499,0.32286490404191,2,0.0,0.0,0.0,0.0,0.0,0.0,1.5882495490976183,20.180623943380297,2.8048243137323148,35.63867198000544,0.2282999630551785,2.9008260718989813
train,0.0,1,Attention:greedy_rollout,5,27.266021728515625,0.0,27.266021728515625,0.0,22.710728645324707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,1,POMO,5,22.651582717895508,0.0,22.651582717895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,1,PointerNet:greedy_rollout,5,23.24280071258545,0.0,23.24280071258545,0.0,22.63235092163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.1,1,Attention:greedy_rollout,5,26.545133590698242,0.0,27.266021728515625,0.0,22.58063793182373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.1,1,POMO,5,20.57723331451416,0.0,22.651582717895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.1,1,PointerNet:greedy_rollout,5,22.626566886901855,0.0,23.24280071258545,0.0,22.370409965515137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
