method,n_cities,instance,mean_entropy,logprob_gap,sample_length_variance,sample_length_std,model_length,reference_length,reference_solver,gap_percent
Attention:batch_greedy_mean,5,0,0.7937154293060302,0.46088480849387253,70.10621714978868,8.372945548000935,33.41205978393555,20.106520752753198,exact_dp,66.17524331931179
Attention:batch_greedy_mean,5,1,0.8237974882125855,0.40868968872500966,6.492743972365631,2.5480863353437675,29.911815643310547,24.48038033452734,exact_dp,22.186891030948015
Attention:batch_greedy_mean,5,2,0.7974389910697937,0.466020770011656,0.2802500698941229,0.5293865033169272,27.857553482055664,20.189242317354744,exact_dp,37.98216418507798
Attention:batch_greedy_mean,6,0,0.9905935327212015,0.29781996122863924,19.94005105803943,4.465428429393918,22.46794319152832,22.222205648028172,exact_dp,1.1058197705138821
Attention:batch_greedy_mean,6,1,0.9397674401601156,0.4783714011947413,4.961327023993882,2.227403650889053,31.3001708984375,20.537293551904874,exact_dp,52.40650292761847
Attention:batch_greedy_mean,6,2,0.8498513499895731,0.5482396390050724,0.010476963788444293,0.1023570407370411,40.82335662841797,24.56157733705126,exact_dp,66.20820425419393
Attention:greedy_rollout,5,0,0.6789369106292724,0.7509684586349975,30.303569134079353,5.504867767174735,31.968095779418945,22.736896336709584,exact_dp,40.60008589565163
Attention:greedy_rollout,5,1,0.9289879560470581,0.10922046404777122,2.447378439841896,1.5644099334387698,13.601534843444824,11.7232380464345,exact_dp,16.021996564179545
Attention:greedy_rollout,5,2,0.8494540691375733,0.4550579689180164,0.003957002293916403,0.06290470804253369,32.04568862915039,22.184812985132748,exact_dp,44.44876614748095
Attention:greedy_rollout,6,0,0.9862261017163595,0.39272659486528944,4.421977629526849,2.1028498827845152,27.677661895751953,20.7267556233009,exact_dp,33.53591077533083
Attention:greedy_rollout,6,1,0.8563465078671774,0.5478437439418686,3.3409524790216163,1.827827256340603,32.98802947998047,18.7034458850985,exact_dp,76.37407396817103
Attention:greedy_rollout,6,2,0.9678667386372884,0.44482436572066114,12.57157775011682,3.5456420786814933,29.113847732543945,18.456234309728778,exact_dp,57.74533008175591
PointerNet:batch_greedy_mean,5,0,0.9574898958206177,0.003412055431927574,2.477622653022757,1.5740465854042431,27.333091735839844,21.22268916871085,exact_dp,28.79183933079374
PointerNet:batch_greedy_mean,5,1,0.9574645042419434,0.008477959996510308,34.83482338720635,5.902103301976877,26.40854263305664,23.68560769963961,exact_dp,11.496158206903258
PointerNet:batch_greedy_mean,5,2,0.9574159622192383,0.007672959564744031,1.02009091172457,1.0099955008437265,25.76226806640625,21.44589235114038,exact_dp,20.12681796864633
PointerNet:batch_greedy_mean,6,0,1.0964938402175903,0.006579575087902541,70.52602445378982,8.39797740255294,41.4208984375,26.745104824227248,exact_dp,54.87282143676093
PointerNet:batch_greedy_mean,6,1,1.096515158812205,0.006206780958561679,2.260169659188815,1.5033860645851467,17.766847610473633,12.943616228181247,exact_dp,37.26339917117672
PointerNet:batch_greedy_mean,6,2,1.0965197682380676,0.00731855366611726,1.0854117897405415,1.0418309794494218,24.26346206665039,18.930820381141714,exact_dp,28.16909979675728
PointerNet:greedy_rollout,5,0,0.9574890494346618,0.004585708184509585,28.594743354323114,5.347405291758155,33.225948333740234,23.016811179960182,exact_dp,44.35513275039915
PointerNet:greedy_rollout,5,1,0.9574737191200257,0.00575007147174893,2.0510049959300796,1.4321330231267204,18.896249771118164,18.626022344372988,exact_dp,1.450805876579512
PointerNet:greedy_rollout,5,2,0.9574606060981751,0.007045134029998512,20.387340720690137,4.515234293000767,41.79344940185547,25.772477799661225,exact_dp,62.16310176588779
PointerNet:greedy_rollout,6,0,1.0965153376261394,0.005675554474717255,3.300376305896036,1.8166937842949857,18.85706901550293,15.564337338416134,exact_dp,21.155617521599364
PointerNet:greedy_rollout,6,1,1.0964770118395488,0.007202016678908944,6.5013154779289195,2.5497677301920896,28.478130340576172,23.93720092766853,exact_dp,18.970177117320645
PointerNet:greedy_rollout,6,2,1.0965310633182526,0.004776549874316527,10.411734143715995,3.2267218881886914,24.488990783691406,21.09500040711732,exact_dp,16.089074714731826
POMO,5,0,0.6914839297533035,0.43583132125140267,3.8061212649235046,1.950928308504314,17.687366710767744,17.687366710767744,exact_dp,0.0
POMO,5,1,0.5647328868508339,0.7918009102382855,0.0,0.0,22.620967880867692,22.620967880867692,exact_dp,0.0
POMO,5,2,0.6289311870932579,0.6301628452760988,5.71162284416921,2.3899001745196826,19.17530998581377,19.175309985813765,exact_dp,1.852754235226894e-14
POMO,6,0,0.8079362273216247,0.6269687291673888,0.706439346296293,0.8404994624009542,22.5697591355197,22.569759135519693,exact_dp,3.1482069945614385e-14
POMO,6,1,0.6820226430892944,0.8215844032119237,1.6328216303372562,1.2778190913964529,27.00158112515689,25.76917621971929,exact_dp,4.782476920991083
POMO,6,2,0.7522917032241822,0.5102019757455781,1.465660088450809,1.2106444930080875,24.94669439877306,24.94669439877306,exact_dp,0.0
