method,length_abs_diff_mean,length_abs_diff_std,hamming_mean,hamming_std,perfect_match_rate,count,length_abs_diff_sem,length_abs_diff_ci95,hamming_sem,hamming_ci95
Attention:batch_greedy_mean,0.0,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0
Attention:greedy_rollout,0.0,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0
POMO,0.0,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0
PointerNet:batch_greedy_mean,3.3911092874011697,2.613247975103341,0.6666666666666666,0.18257418583505539,0.0,6,1.0668540183940907,2.7424355609594597,0.074535599249993,0.1915998575402997
PointerNet:greedy_rollout,6.757043096834899,5.4729617458070985,0.638888888888889,0.24532669073132912,0.0,6,2.2343272764998674,5.743521111837316,0.10015420209622194,0.2574545726711966
