sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,0,Attention:batch_greedy_mean,40.39300773846752,20.46958393227491,exact_dp,97.33184549383458
0.0,0.0,0,Attention:greedy_rollout,40.39300773846752,20.46958393227491,exact_dp,97.33184549383458
0.0,0.0,0,PointerNet:batch_greedy_mean,22.09556447751164,20.46958393227491,exact_dp,7.943398119944217
0.0,0.0,0,PointerNet:greedy_rollout,22.09556447751164,20.46958393227491,exact_dp,7.943398119944217
0.0,0.0,0,POMO,20.46958393227491,20.46958393227491,exact_dp,0.0
0.0,0.0,1,Attention:batch_greedy_mean,36.7085525510287,28.854740924388565,exact_dp,27.218444439409083
0.0,0.0,1,Attention:greedy_rollout,36.7085525510287,28.854740924388565,exact_dp,27.218444439409083
0.0,0.0,1,PointerNet:batch_greedy_mean,44.56970774403534,28.854740924388565,exact_dp,54.462338999426585
0.0,0.0,1,PointerNet:greedy_rollout,44.56970774403534,28.854740924388565,exact_dp,54.462338999426585
0.0,0.0,1,POMO,28.85474092438857,28.854740924388565,exact_dp,1.231240886241221e-14
0.0,0.0,2,Attention:batch_greedy_mean,19.358522292752127,18.667021267637182,exact_dp,3.704399406850162
0.0,0.0,2,Attention:greedy_rollout,19.358522292752127,18.667021267637182,exact_dp,3.704399406850162
0.0,0.0,2,PointerNet:batch_greedy_mean,20.32718866195798,18.667021267637182,exact_dp,8.893584951333464
0.0,0.0,2,PointerNet:greedy_rollout,20.32718866195798,18.667021267637182,exact_dp,8.893584951333464
0.0,0.0,2,POMO,18.667021267637185,18.667021267637182,exact_dp,1.9032033166211704e-14
0.5,5.0,0,Attention:batch_greedy_mean,40.39300773846752,20.46958393227491,exact_dp,97.33184549383458
0.5,5.0,0,Attention:greedy_rollout,40.39300773846752,20.46958393227491,exact_dp,97.33184549383458
0.5,5.0,0,PointerNet:batch_greedy_mean,22.09556447751164,20.46958393227491,exact_dp,7.943398119944217
0.5,5.0,0,PointerNet:greedy_rollout,28.18866488347905,20.46958393227491,exact_dp,37.71000415417954
0.5,5.0,0,POMO,22.586834686134914,20.46958393227491,exact_dp,10.343399068906718
0.5,5.0,1,Attention:batch_greedy_mean,32.38467422125862,28.854740924388565,exact_dp,12.23346037353082
0.5,5.0,1,Attention:greedy_rollout,32.38467422125862,28.854740924388565,exact_dp,12.23346037353082
0.5,5.0,1,PointerNet:batch_greedy_mean,38.55909140082335,28.854740924388565,exact_dp,33.63173664204514
0.5,5.0,1,PointerNet:greedy_rollout,38.55909140082335,28.854740924388565,exact_dp,33.63173664204514
0.5,5.0,1,POMO,28.854740924388565,28.854740924388565,exact_dp,0.0
0.5,5.0,2,Attention:batch_greedy_mean,19.358522292752127,18.667021267637182,exact_dp,3.704399406850162
0.5,5.0,2,Attention:greedy_rollout,19.358522292752127,18.667021267637182,exact_dp,3.704399406850162
0.5,5.0,2,PointerNet:batch_greedy_mean,20.266655394071428,18.667021267637182,exact_dp,8.569305747819095
0.5,5.0,2,PointerNet:greedy_rollout,19.84251087873899,18.667021267637182,exact_dp,6.29714615014525
0.5,5.0,2,POMO,19.516389634086273,18.667021267637182,exact_dp,4.550101241496053
1.0,10.0,0,Attention:batch_greedy_mean,41.61860298210282,20.46958393227491,exact_dp,103.31924244186379
1.0,10.0,0,Attention:greedy_rollout,41.61860298210282,20.46958393227491,exact_dp,103.31924244186379
1.0,10.0,0,PointerNet:batch_greedy_mean,23.022920195981897,20.46958393227491,exact_dp,12.473806366337886
1.0,10.0,0,PointerNet:greedy_rollout,23.022920195981897,20.46958393227491,exact_dp,12.473806366337886
1.0,10.0,0,POMO,20.688409718171023,20.46958393227491,exact_dp,1.0690289876927268
1.0,10.0,1,Attention:batch_greedy_mean,40.906678877624174,28.854740924388565,exact_dp,41.76761796204202
1.0,10.0,1,Attention:greedy_rollout,40.906678877624174,28.854740924388565,exact_dp,41.76761796204202
1.0,10.0,1,PointerNet:batch_greedy_mean,38.078710087939044,28.854740924388565,exact_dp,31.966910351824396
1.0,10.0,1,PointerNet:greedy_rollout,38.078710087939044,28.854740924388565,exact_dp,31.966910351824396
1.0,10.0,1,POMO,31.875807623209976,28.854740924388565,exact_dp,10.469914482122238
1.0,10.0,2,Attention:batch_greedy_mean,18.771821304692526,18.667021267637182,exact_dp,0.5614181049712269
1.0,10.0,2,Attention:greedy_rollout,18.771821304692526,18.667021267637182,exact_dp,0.5614181049712269
1.0,10.0,2,PointerNet:batch_greedy_mean,20.32718866195798,18.667021267637182,exact_dp,8.893584951333464
1.0,10.0,2,PointerNet:greedy_rollout,20.266655394071428,18.667021267637182,exact_dp,8.569305747819095
1.0,10.0,2,POMO,19.82687139644463,18.667021267637182,exact_dp,6.213364800833375
